Id_reserva,Fecha_reserva,Id_socio,Id_clase
59,2024-01-15 15:00:07,1065,3572
60,2025-01-12 15:45:25,2589,2262
61,2021-04-26 14:30:55,6264,9041
62,2022-10-29 21:00:42,408,5226
63,2022-01-22 15:00:57,4609,7200
64,2022-04-25 15:15:37,2944,8208
65,2024-04-21 12:15:32,5391,3653
66,2023-08-20 21:00:13,8125,5161
67,2024-07-03 06:45:30,2692,8013
68,2021-07-05 06:00:00,9367,1740
69,2021-10-10 09:45:54,6633,2107
70,2022-03-13 18:15:46,7801,8329
71,2024-07-27 11:00:02,1550,242
72,2023-05-26 08:30:01,9513,3136
73,2020-12-22 19:30:07,3932,4605
74,2024-01-12 11:45:12,4464,9735
75,2021-06-14 10:30:16,6795,4335
76,2023-07-11 12:30:18,9884,7763
77,2022-12-30 07:30:34,1146,168
78,2024-08-18 07:30:53,6946,5640
79,2021-08-10 15:45:14,6811,4218
80,2025-05-05 08:45:26,4857,6099
81,2023-11-05 17:30:46,3666,6867
82,2025-05-18 21:00:03,8130,7862
83,2024-09-27 06:00:30,7334,968
84,2024-11-04 08:00:46,2999,3697
85,2023-12-24 14:30:43,6828,6261
86,2022-06-24 16:00:11,3292,8953
87,2023-02-07 21:00:37,7446,3067
88,2024-02-17 20:45:50,9983,7615
89,2024-10-13 18:45:48,8525,4602
90,2024-10-11 09:15:51,4091,1841
91,2023-04-03 16:45:06,1113,3693
92,2021-06-08 13:30:34,5024,6537
93,2021-08-26 13:45:03,669,4453
94,2023-05-25 14:45:17,1561,9475
95,2022-07-03 06:00:56,5928,6277
96,2024-08-31 15:15:52,9717,2761
97,2023-01-26 09:00:37,3010,1665
98,2025-05-24 12:15:03,1798,9989
99,2021-07-09 07:45:31,7259,4200
100,2024-01-06 18:00:12,9942,12
101,2022-07-09 21:30:26,2042,1500
102,2022-10-17 13:00:42,5013,964
103,2025-01-04 19:15:26,7999,4955
104,2023-09-09 08:45:17,5944,5274
105,2024-01-02 15:45:32,1311,5544
106,2021-05-01 16:45:56,6503,6740
107,2023-06-28 11:30:32,6174,6889
108,2022-01-01 18:15:47,549,4127
109,2022-11-28 19:45:46,1589,8710
110,2024-09-28 07:15:51,2459,466
111,2025-08-24 17:15:46,788,6287
112,2024-04-27 15:00:32,5616,8284
113,2025-11-02 20:30:57,1494,4886
114,2023-07-22 07:00:33,3529,501
115,2025-10-16 10:30:59,9052,8751
116,2025-02-24 20:45:18,6334,1528
117,2025-10-29 08:15:10,9346,8469
118,2023-04-16 12:15:14,6989,2013
119,2020-11-12 19:45:47,9643,964
120,2021-02-06 06:45:40,1044,1291
121,2022-11-12 21:45:45,5553,8354
122,2020-11-06 06:15:52,1714,8772
123,2021-08-12 12:30:11,9327,554
124,2022-01-03 12:00:26,9509,6028
125,2021-08-24 08:15:05,9977,1831
126,2024-09-01 08:45:50,6539,9844
127,2023-11-10 13:00:55,1875,550
128,2020-12-10 13:00:56,240,310
129,2021-12-30 11:45:30,9766,9304
130,2023-10-27 12:30:44,7587,514
131,2022-04-14 09:45:27,3417,1326
132,2021-10-22 21:45:04,3233,8571
133,2021-01-17 18:00:51,6200,327
134,2022-05-17 09:45:51,4972,2668
135,2021-12-23 07:45:08,9576,8753
136,2023-03-25 08:30:20,1521,694
137,2021-12-30 16:45:51,2099,5675
138,2021-05-06 14:30:57,9482,484
139,2021-11-04 21:00:04,5197,8231
140,2023-03-10 14:00:55,1719,4142
141,2025-09-08 07:00:37,9696,1118
142,2024-09-01 10:30:00,3702,7630
143,2023-07-18 16:30:21,911,6065
144,2023-12-30 07:00:06,5447,6056
145,2024-09-11 16:30:40,1417,4112
146,2022-10-06 07:15:16,8033,9265
147,2024-04-30 15:45:29,6166,4549
148,2023-10-07 18:15:31,7857,2429
149,2021-04-16 10:45:56,4631,5228
150,2022-12-10 08:45:28,6412,3939
151,2025-07-15 07:30:38,3891,1051
152,2025-07-05 16:15:07,1393,4156
153,2025-09-15 09:15:41,4000,3841
154,2025-07-08 09:45:43,3502,8749
155,2023-05-20 12:45:40,4820,2071
156,2025-03-26 16:30:50,1311,5192
157,2022-10-18 13:00:48,6961,3148
158,2025-02-17 12:45:31,3917,1679
159,2024-11-11 06:15:43,3299,2505
160,2021-04-24 08:15:32,4970,449
161,2022-06-11 12:15:57,6959,5019
162,2025-03-26 11:30:42,1070,1473
163,2023-06-24 20:00:59,8600,7528
164,2024-08-28 16:45:29,8087,7610
165,2023-04-30 15:30:24,2779,112
166,2021-08-09 18:00:41,9635,740
167,2022-11-22 08:00:55,936,9674
168,2023-02-27 17:30:00,9409,1433
169,2024-10-09 09:30:55,3300,2478
170,2022-06-10 10:45:24,689,3419
171,2023-07-27 15:30:28,8702,8293
172,2021-03-30 07:00:16,7534,2866
173,2025-11-04 14:30:30,1168,2870
174,2025-03-31 18:45:29,2784,8655
175,2024-06-15 06:45:46,2800,853
176,2021-10-31 07:00:04,5691,4602
177,2022-10-02 19:45:45,9025,599
178,2021-04-12 21:45:56,8905,4292
179,2025-01-23 11:30:20,3403,9473
180,2023-06-28 18:00:05,6602,9000
181,2024-10-18 15:45:58,8380,702
182,2022-06-15 15:00:22,7788,2971
183,2024-08-30 15:30:33,9610,8182
184,2021-03-08 15:00:38,6517,4361
185,2022-06-06 16:15:30,5210,7996
186,2023-04-16 12:30:08,6194,6212
187,2020-11-15 08:00:38,9946,5927
188,2023-11-16 13:15:00,6008,3885
189,2022-12-14 08:15:28,2023,7851
190,2022-10-30 17:15:54,8025,1080
191,2021-10-03 08:30:28,9649,3170
192,2023-11-22 15:30:10,3450,6429
193,2023-04-11 19:30:45,9567,5097
194,2024-03-23 11:15:54,2239,3960
195,2023-10-05 18:00:41,7351,8432
196,2022-09-22 18:00:16,1281,9716
197,2024-04-30 14:30:27,7080,4727
198,2023-05-11 15:30:12,7485,415
199,2021-09-04 21:30:10,2220,1820
200,2022-06-02 17:00:36,3639,3033
201,2022-06-20 06:45:21,6290,7468
202,2024-07-24 06:15:31,3974,8155
203,2024-06-06 18:00:16,9909,9982
204,2022-07-25 08:15:36,1459,7913
205,2023-10-13 07:15:42,10000,911
206,2021-12-07 19:45:45,7126,7259
207,2025-09-17 11:45:02,6755,2735
208,2022-09-25 08:45:43,1532,6380
209,2024-02-02 08:00:08,747,1065
210,2023-09-14 14:30:40,207,5962
211,2023-09-27 08:30:54,9919,9908
212,2024-06-09 11:15:44,8800,9276
213,2025-10-31 10:00:17,1379,6006
214,2023-10-14 17:30:59,1889,5809
215,2025-05-02 12:00:43,7496,4474
216,2025-09-11 21:00:42,5850,9335
217,2023-03-11 06:30:55,6771,5062
218,2022-06-04 08:45:22,384,4698
219,2023-06-10 19:30:55,8814,4482
220,2024-06-13 20:30:05,5005,2144
221,2022-02-02 10:00:08,1646,2885
222,2021-02-24 07:45:45,5225,6892
223,2025-01-27 09:45:10,6758,5903
224,2022-10-15 20:45:04,2537,2723
225,2021-12-06 07:45:58,469,958
226,2025-01-06 11:30:50,5520,8232
227,2023-08-31 10:15:10,3733,8343
228,2025-05-04 16:00:59,6558,908
229,2022-02-14 09:00:15,3899,2226
230,2023-09-07 21:00:56,7294,6309
231,2021-11-15 19:45:17,1419,7022
232,2023-03-25 12:30:08,3360,519
233,2022-11-01 20:00:07,9480,4261
234,2022-12-30 17:30:45,4448,8385
235,2021-09-10 07:45:14,6343,1086
236,2024-01-28 11:45:54,1665,2924
237,2022-07-25 18:15:36,8661,3148
238,2022-09-23 12:30:03,4269,9872
239,2023-07-16 13:45:30,7299,7598
240,2021-01-05 19:15:47,9956,8809
241,2021-07-11 16:45:53,2163,7153
242,2025-07-01 10:45:03,6137,6941
243,2025-04-24 08:30:07,9118,2454
244,2022-06-30 13:30:04,1085,1441
245,2024-06-15 19:15:36,9556,2733
246,2020-12-20 15:15:21,806,8535
247,2024-01-10 21:45:14,9888,7344
248,2021-04-28 09:00:02,3926,3619
249,2024-01-10 11:00:31,9930,8351
250,2022-11-02 14:00:39,7649,1305
251,2023-09-03 06:15:54,4757,5460
252,2024-09-23 08:00:30,3780,9763
253,2022-10-15 13:00:26,9455,7518
254,2024-06-19 14:45:54,2797,7564
255,2025-08-23 20:45:42,590,9380
256,2024-05-04 08:15:59,4784,9466
257,2025-02-14 07:45:28,6391,5499
258,2024-08-09 12:15:50,6575,3672
259,2022-04-15 13:00:05,9359,6997
260,2024-12-10 17:45:11,4934,6876
261,2023-05-12 20:30:42,6211,8681
262,2024-08-05 17:00:46,1627,7109
263,2023-11-03 11:45:04,4529,8397
264,2025-07-07 09:30:08,1974,4087
265,2023-06-05 07:15:11,5496,1159
266,2025-02-13 21:30:48,802,4515
267,2025-01-31 11:15:05,5474,51
268,2024-05-20 16:45:16,4397,5493
269,2021-07-30 16:00:43,894,8943
270,2021-06-18 18:00:50,9792,1056
271,2022-02-27 07:15:20,4526,379
272,2025-09-29 16:45:29,7922,1
273,2024-11-26 16:30:19,6540,522
274,2023-05-12 09:30:20,9536,8341
275,2022-08-08 11:45:57,555,5826
276,2022-04-15 21:30:49,3983,3751
277,2023-12-13 12:30:44,6808,5212
278,2023-07-03 17:30:59,8401,8825
279,2025-06-15 14:45:22,5436,6021
280,2025-06-30 14:00:15,3051,6195
281,2023-06-04 06:30:52,9807,4796
282,2023-06-26 13:30:09,2431,4075
283,2020-12-06 07:30:25,1075,1630
284,2023-06-30 17:15:31,2359,7974
285,2022-04-09 20:15:33,2838,58
286,2024-03-23 10:45:54,4214,438
287,2021-04-29 20:45:54,5813,5636
288,2022-09-01 07:15:39,8647,5390
289,2023-04-29 20:15:41,145,990
290,2023-03-02 06:00:56,3052,3338
291,2025-03-25 15:00:18,3368,2414
292,2022-07-28 12:30:13,6079,5778
293,2025-02-26 20:30:22,1774,4766
294,2025-02-03 10:00:50,3726,3955
295,2021-07-21 13:15:30,9797,220
296,2024-12-09 14:45:00,9590,3847
297,2024-06-12 19:45:20,8358,4667
298,2021-01-06 16:45:55,7070,9503
299,2022-02-04 15:00:53,5137,8973
300,2024-12-26 19:45:42,6893,5806
301,2025-09-04 09:00:40,1367,7971
302,2022-06-18 08:00:35,1293,2821
303,2023-11-25 21:00:24,9866,4601
304,2021-09-23 17:30:23,4550,8709
305,2024-06-13 09:15:44,4728,4635
306,2023-02-22 13:15:10,2711,359
307,2021-08-15 21:45:42,5638,4777
308,2022-07-11 18:15:37,6146,9758
309,2021-08-14 12:30:28,2843,1529
310,2024-10-17 16:00:33,4422,2418
311,2021-06-29 09:30:22,1172,783
312,2021-06-20 07:45:46,3405,5322
313,2021-08-08 11:00:02,584,6379
314,2025-03-04 12:15:15,9144,8862
315,2023-08-28 21:00:03,688,8020
316,2023-07-23 07:00:48,3468,1901
317,2021-10-09 17:00:17,6109,2283
318,2023-05-03 06:30:44,6743,1606
319,2024-03-23 20:30:59,1494,8923
320,2022-10-22 17:00:39,5810,4823
321,2022-03-05 21:30:24,8638,4346
322,2025-10-27 21:15:51,4057,8138
323,2021-09-02 17:00:57,8479,7842
324,2023-03-15 08:00:19,2255,8411
325,2024-01-31 12:15:10,2821,7667
326,2022-08-30 15:45:56,7558,2467
327,2024-04-14 07:15:14,5057,8215
328,2022-01-06 11:00:06,8761,2639
329,2021-08-19 21:45:39,7588,2861
330,2022-11-15 11:30:45,6843,376
331,2020-12-08 09:15:52,367,9177
332,2023-09-30 14:30:43,7574,152
333,2023-12-05 15:30:08,2439,5340
334,2024-12-05 13:45:52,1873,4541
335,2025-03-05 21:45:52,8934,4709
336,2022-05-04 11:15:46,8806,9046
337,2024-04-16 12:00:49,1230,6114
338,2022-05-29 15:15:14,4661,7598
339,2025-08-17 06:30:08,4989,3631
340,2024-12-17 14:30:58,2749,9568
341,2023-07-23 11:45:35,6375,3628
342,2025-05-23 10:00:04,8410,5487
343,2024-09-30 08:15:41,3874,9887
344,2025-09-01 12:15:16,3267,7859
345,2024-05-30 14:30:15,7902,4889
346,2021-08-01 12:30:50,4847,8287
347,2022-10-19 12:30:51,5617,9805
348,2021-08-24 19:00:39,5093,8
349,2023-08-30 13:45:47,3869,970
350,2024-04-28 20:15:06,804,2653
351,2022-05-24 19:30:51,6019,122
352,2021-09-01 18:45:23,5225,512
353,2023-01-28 16:45:27,8864,5367
354,2025-10-28 13:30:18,3333,4892
355,2024-12-08 18:45:16,9033,8659
356,2023-09-09 07:15:59,3058,2505
357,2025-01-15 17:45:41,2671,5519
358,2023-05-03 18:00:19,7721,6454
359,2025-10-15 18:15:16,9388,8757
360,2021-11-30 11:45:58,8054,7929
361,2023-11-07 17:15:37,3205,9378
362,2024-02-14 12:00:46,223,3503
363,2021-03-04 15:30:25,4448,8065
364,2022-12-18 09:00:40,4853,2524
365,2025-01-10 14:45:16,7680,4164
366,2023-08-06 07:00:45,266,6017
367,2021-11-13 19:00:25,1757,8581
368,2023-03-08 15:45:18,8614,7222
369,2022-03-24 06:45:40,873,7571
370,2021-05-01 19:00:33,6123,2615
371,2025-05-14 10:15:08,6983,2995
372,2023-12-21 13:30:40,917,1839
373,2025-08-24 06:30:25,2725,3367
374,2024-06-18 17:00:24,5759,667
375,2025-01-15 15:15:04,506,6322
376,2022-09-02 07:30:34,6593,9249
377,2025-07-29 12:30:30,2965,3914
378,2024-01-06 15:45:36,6564,4732
379,2022-06-01 18:00:59,78,4305
380,2024-02-24 21:30:36,9406,1866
381,2024-05-17 09:15:55,6436,9528
382,2023-04-14 19:45:08,6705,188
383,2022-08-02 12:15:13,1751,7212
384,2021-08-04 12:45:07,3028,3476
385,2023-01-16 21:45:32,8072,4302
386,2024-07-21 19:00:40,8687,8122
387,2025-10-19 10:15:40,4273,9351
388,2025-05-05 20:30:35,4771,3007
389,2021-03-19 13:15:12,7013,5558
390,2022-10-21 18:45:42,5323,4660
391,2024-06-14 13:00:55,272,5171
392,2024-01-03 12:45:33,5867,4205
393,2025-08-02 17:00:11,9592,7693
394,2023-01-05 20:15:18,8226,3666
395,2023-04-10 07:15:56,7899,5534
396,2025-04-01 21:30:22,3491,4594
397,2022-12-30 08:15:05,3159,2862
398,2022-12-05 08:30:55,745,3483
399,2023-11-01 20:15:11,9651,1097
400,2025-08-14 14:45:29,1248,5420
401,2025-06-21 19:30:32,6373,5649
402,2023-09-21 13:30:25,9780,4013
403,2025-10-11 10:15:34,2005,3832
404,2025-03-21 18:15:14,6381,5158
405,2021-05-11 10:00:33,4132,7938
406,2024-11-05 17:30:59,403,1454
407,2021-11-08 21:15:25,3576,7408
408,2021-12-11 06:15:53,7679,4021
409,2022-09-11 08:00:15,7203,5029
410,2024-05-14 16:45:25,2558,4737
411,2021-02-01 13:15:47,4569,4996
412,2025-09-25 17:45:51,7854,7307
413,2025-04-21 19:00:43,7147,1517
414,2023-12-09 17:00:13,1897,6128
415,2025-03-03 11:00:55,9494,8053
416,2021-08-14 10:30:48,6125,6334
417,2022-12-03 20:00:48,240,6211
418,2022-11-29 09:30:03,8330,2282
419,2022-11-25 09:45:32,293,7246
420,2023-02-05 07:00:24,868,4140
421,2025-08-27 14:30:31,4108,6903
422,2022-06-08 08:00:35,2485,8699
423,2022-05-07 06:00:01,2267,7058
424,2021-11-26 11:45:46,6755,9240
425,2021-03-13 10:30:01,3953,9341
426,2024-06-27 10:00:49,148,3002
427,2020-12-31 15:30:15,1220,3915
428,2025-04-20 10:00:19,7671,1597
429,2020-11-18 12:15:17,3760,9843
430,2021-07-07 13:45:15,6664,4951
431,2025-11-30 21:45:50,9439,2331
432,2024-04-27 20:00:48,6547,821
433,2023-06-23 14:15:41,5713,6305
434,2025-09-29 08:15:01,4480,8128
435,2023-11-28 08:45:27,9650,7203
436,2023-02-19 06:15:14,4884,4179
437,2024-05-16 16:30:02,2619,3438
438,2022-12-14 21:15:42,3118,9572
439,2025-03-05 20:15:55,8774,2083
440,2022-04-17 08:00:06,9911,4222
441,2022-04-01 10:45:52,8750,2832
442,2021-10-07 19:15:35,1867,6088
443,2022-10-03 10:15:51,8454,9063
444,2024-05-09 11:00:17,7696,7901
445,2021-07-16 18:15:32,859,2012
446,2021-06-13 13:45:49,8521,4209
447,2025-09-03 19:30:42,8422,4577
448,2025-12-02 09:00:25,2187,2797
449,2025-06-21 20:45:58,4204,1446
450,2021-02-14 08:00:36,962,8845
451,2021-04-20 20:00:43,3653,7218
452,2023-04-26 09:45:00,9379,7840
453,2021-11-20 13:00:23,1939,1213
454,2023-05-21 15:45:58,143,7667
455,2025-09-20 12:45:42,1098,8739
456,2021-05-14 16:30:36,7354,8207
457,2024-12-04 11:00:16,1752,2417
458,2024-11-21 21:30:38,2469,5833
459,2025-06-10 20:00:17,8764,3773
460,2024-01-25 06:30:52,636,4393
461,2021-03-07 14:30:48,6742,6579
462,2022-06-19 21:15:39,5120,1402
463,2025-09-30 21:45:00,3716,1127
464,2025-08-09 10:45:09,7758,1526
465,2022-06-26 07:45:31,9784,5657
466,2022-06-11 09:45:35,8092,2020
467,2024-11-13 10:30:33,247,1455
468,2024-06-23 07:00:29,9342,1725
469,2021-06-10 15:30:24,6240,7269
470,2022-11-24 18:30:48,5926,3894
471,2024-05-24 09:00:23,9510,5810
472,2024-11-10 20:45:57,7326,2563
473,2021-10-29 09:00:06,1680,9649
474,2023-08-18 19:15:01,7122,6100
475,2021-01-08 06:45:55,1556,2535
476,2025-04-04 14:45:16,651,5475
477,2022-10-24 14:15:07,5763,34
478,2022-05-04 18:30:47,6754,4840
479,2021-11-13 08:45:31,3401,1841
480,2023-03-29 19:15:02,6697,2237
481,2022-08-02 20:30:43,3985,2433
482,2021-07-12 10:15:01,1148,4554
483,2020-11-08 17:15:27,4342,5526
484,2024-07-25 08:15:47,5249,4946
485,2023-08-29 12:45:44,4896,4120
486,2022-09-17 14:00:08,4800,7391
487,2025-08-18 17:15:02,2260,161
488,2023-08-31 10:45:19,4207,9874
489,2024-11-10 20:45:00,1332,1672
490,2024-09-03 06:30:48,6926,4198
491,2023-03-04 21:15:46,400,2756
492,2025-08-08 06:45:38,5259,5570
493,2024-08-10 09:30:50,9319,8478
494,2023-12-26 20:15:11,2993,9952
495,2023-08-31 09:45:20,2477,956
496,2025-04-06 06:00:16,9862,1016
497,2023-08-20 20:45:46,7039,7971
498,2025-03-21 06:30:09,6338,4484
499,2022-04-17 21:00:23,6926,8333
500,2023-11-04 06:45:25,4605,262
501,2025-03-21 07:15:52,1641,9184
502,2022-05-27 18:30:11,3465,6834
503,2022-08-30 15:30:23,6349,2538
504,2024-09-09 17:30:08,2636,6471
505,2024-08-29 17:00:26,3648,617
506,2021-12-04 15:30:05,6610,7645
507,2021-09-17 11:30:37,5031,5585
508,2023-03-19 12:30:41,2231,5407
509,2025-09-12 19:00:02,3825,6171
510,2021-01-12 09:45:51,2104,8392
511,2022-02-16 20:30:02,8663,7043
512,2021-05-13 17:00:26,2907,9649
513,2022-08-31 16:15:13,2279,8012
514,2025-06-29 17:00:51,2209,9665
515,2022-01-31 09:00:25,9886,7991
516,2025-06-13 14:15:26,4777,9462
517,2025-03-30 18:45:31,3363,1347
518,2024-05-21 16:45:34,3285,2493
519,2021-07-23 15:00:55,8729,2380
520,2022-03-25 08:00:12,1942,5297
521,2023-06-18 08:30:07,9330,4500
522,2021-12-18 21:30:46,2264,8625
523,2021-09-09 09:00:44,653,6707
524,2024-05-24 13:15:59,9759,2810
525,2023-09-06 07:00:10,7789,7855
526,2023-11-26 19:00:09,3456,4293
527,2021-05-29 13:00:22,7465,5559
528,2021-10-26 14:30:47,1112,1385
529,2024-05-30 13:30:52,3425,6186
530,2022-04-18 07:45:00,7972,7715
531,2025-05-30 09:15:04,3737,1307
532,2021-03-13 14:15:30,7097,3512
533,2021-03-23 10:30:52,7057,3678
534,2025-09-23 13:45:47,2309,5418
535,2023-08-05 11:45:27,7428,5797
536,2024-02-20 06:15:56,1362,5317
537,2024-12-02 08:00:14,514,45
538,2023-06-27 21:45:28,2532,773
539,2021-04-02 07:00:54,7609,3183
540,2023-06-09 10:45:11,3881,4439
541,2022-02-12 10:00:13,162,5546
542,2023-04-18 08:15:18,7573,4164
543,2023-03-29 08:15:30,5522,4331
544,2022-06-14 13:45:23,4519,2902
545,2021-09-04 18:30:21,14,9200
546,2022-12-01 12:45:15,7251,6951
547,2023-03-31 17:45:01,9354,2959
548,2024-09-13 15:45:16,670,1751
549,2025-10-30 06:00:17,2976,2734
550,2023-12-17 06:15:07,5530,8413
551,2023-09-27 17:15:26,5450,4288
552,2021-09-16 14:15:21,9374,2624
553,2022-09-05 18:30:15,7183,6873
554,2021-08-20 15:15:08,3634,4508
555,2022-04-18 09:45:16,3141,9269
556,2021-11-21 20:00:07,7162,1159
557,2021-01-31 09:30:12,3342,9744
558,2021-05-08 13:00:52,4187,3545
559,2021-01-16 15:15:37,8364,3529
560,2025-03-03 16:15:48,4851,2473
561,2022-03-16 19:15:02,1516,5892
562,2020-12-04 20:45:37,4438,490
563,2025-01-12 06:30:40,9225,6700
564,2023-03-11 06:15:50,7530,1092
565,2023-05-17 12:00:30,6173,8248
566,2021-02-16 13:30:06,2221,3199
567,2024-09-04 18:00:41,1302,1869
568,2024-11-07 12:45:39,7864,9384
569,2024-03-01 12:00:52,6443,1205
570,2021-12-16 07:00:47,6017,5694
571,2021-11-23 10:30:26,5000,9831
572,2024-08-10 21:45:30,4913,8424
573,2024-04-17 17:30:16,2460,1231
574,2024-01-05 12:00:29,839,5992
575,2021-10-13 17:15:24,7093,4950
576,2025-01-06 17:45:28,6294,2546
577,2023-04-28 13:00:23,917,3080
578,2024-10-19 07:30:52,1825,876
579,2025-02-21 07:00:04,205,2798
580,2023-04-19 16:15:11,5826,8797
581,2024-11-07 09:15:39,6790,3186
582,2023-12-24 13:00:30,8073,6851
583,2021-08-13 13:15:05,967,7533
584,2025-10-16 09:30:25,8362,3212
585,2024-08-06 08:00:08,5875,4733
586,2024-11-23 15:15:03,6304,2940
587,2022-11-15 08:45:15,9874,2731
588,2023-10-15 11:15:02,7093,6076
589,2022-03-25 08:45:52,7505,9240
590,2022-02-21 11:30:58,1583,1409
591,2023-09-09 21:00:54,3609,8553
592,2022-01-22 15:45:40,8390,1071
593,2025-05-24 21:30:50,8057,9458
594,2025-10-29 08:30:20,3019,5282
595,2021-10-23 10:00:42,4072,1622
596,2022-11-29 13:30:45,1202,4052
597,2023-09-26 17:00:34,8691,698
598,2021-06-18 09:45:24,4346,8158
599,2022-06-11 09:45:38,4799,4254
600,2022-08-21 07:30:36,1250,4796
601,2021-05-15 21:15:23,5130,6022
602,2021-01-04 11:15:43,3786,3011
603,2023-11-22 20:30:08,5967,3257
604,2023-08-29 11:30:09,2871,3999
605,2021-06-20 10:00:26,9653,836
606,2024-03-03 18:45:51,82,924
607,2023-02-08 16:00:53,340,3117
608,2021-11-14 06:00:35,6627,2288
609,2022-01-10 06:15:43,8651,4835
610,2024-08-07 08:30:52,4109,2111
611,2022-12-03 09:00:35,8734,7349
612,2022-06-28 10:45:39,9733,2764
613,2022-08-17 21:45:43,7432,2567
614,2023-03-16 18:30:36,4815,769
615,2024-01-28 12:45:37,5145,6303
616,2025-06-05 13:15:30,1827,4536
617,2025-06-23 15:00:05,8329,9219
618,2020-12-28 16:45:23,3936,501
619,2022-08-11 06:30:11,3578,3914
620,2024-02-07 15:30:15,8471,6526
621,2022-03-24 13:15:16,8756,1820
622,2025-09-12 14:00:55,6655,8038
623,2022-04-19 19:30:22,740,7197
624,2025-10-26 19:30:03,9965,7457
625,2021-01-30 21:45:29,7614,4427
626,2024-03-16 21:00:43,4998,2823
627,2023-12-28 10:45:42,2668,4553
628,2023-07-04 14:00:05,9142,2592
629,2024-09-09 18:15:51,3354,295
630,2021-07-02 09:15:25,5853,4906
631,2020-11-12 19:45:44,5525,7904
632,2024-11-18 12:30:43,4675,898
633,2024-07-10 10:45:54,966,5584
634,2025-11-22 09:30:52,1617,7353
635,2021-06-23 08:45:55,1624,3912
636,2023-10-17 10:30:38,998,6381
637,2023-04-30 07:45:53,1000,353
638,2025-09-06 10:30:43,2744,4488
639,2022-09-06 16:30:28,9057,5293
640,2021-07-18 06:45:48,3292,1736
641,2024-12-13 17:45:53,2144,8629
642,2023-03-30 17:15:10,3997,3538
643,2025-07-28 08:00:25,4747,4354
644,2024-03-08 19:45:46,8139,6450
645,2025-04-21 11:15:16,650,6362
646,2023-04-18 16:30:10,1859,2463
647,2021-05-09 07:15:33,5160,3960
648,2023-08-05 12:15:34,439,3267
649,2022-03-20 11:30:42,4967,2601
650,2024-07-11 16:30:50,6784,6402
651,2023-01-22 10:45:33,9033,3568
652,2021-05-03 09:45:26,2604,2845
653,2021-02-18 14:30:52,8493,6670
654,2023-07-26 06:30:33,8593,5360
655,2023-11-01 21:45:34,4548,346
656,2022-04-07 15:15:21,1910,1394
657,2023-10-16 07:15:51,9720,5372
658,2021-05-12 17:45:49,8100,9569
659,2022-08-12 10:15:53,7898,555
660,2021-06-03 06:45:55,6984,70
661,2021-04-09 07:30:45,4460,8
662,2025-10-29 21:30:49,7343,6984
663,2024-07-03 11:45:59,9280,6849
664,2023-07-07 09:00:10,8910,7091
665,2021-06-16 11:15:11,2589,501
666,2024-12-06 21:30:09,9577,2288
667,2021-12-11 16:45:30,9083,9518
668,2023-08-11 11:45:26,7612,8031
669,2024-09-11 07:45:18,679,6958
670,2022-01-16 08:45:16,481,6293
